"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @mmfa: Trump surrogates are comparing his refusal to accept election results to Al Gore in 2000. This is complete bullshit. https://t.co<U+2026>",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030899685859329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DinnaPavelko",284,TRUE,FALSE,NA,NA
"2","Did you see it last night??? The final debate between Trump and Hillary. What went down on stage NOW ON 11 #WPXI",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030899526488064",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","WPXIJoe",0,FALSE,FALSE,NA,NA
"3","Debat Terakhir Capres AS, Clinton-Trump Masih Bahas Skandal Pribadi

https://t.co/4L2cYwMl4i https://t.co/nwV3HTsEBY",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030899492982784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","kriminalitascom",0,FALSE,FALSE,NA,NA
"4","RT @mcspocky: #DebateNight
Trump: I'm going to keep using my same lies, so there!",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030899404902400",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Vote4HRC",12,TRUE,FALSE,NA,NA
"5","RT @IanSams: Voter in CBS #debate focus group: ""I went from Trump to Clinton b/c Clinton proved to be more of an adult. Trump is more of a<U+2026>",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030899350278144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErnestRickard",447,TRUE,FALSE,NA,NA
"6","#Trump zum Fr<U+00FC>hst<U+00FC>ck? Mit #Clinton das Klo sauber machen? In #Amerika ist das dank dem #Wahlkampf m<U+00F6>glich...<U+2026> https://t.co/Csh1GXsjM4",FALSE,0,NA,2016-10-20 09:10:00,TRUE,NA,"789030899203518464",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","955charivari",0,FALSE,FALSE,NA,NA
"7","""I'll keep you in suspense."" Uh, no you won't. Running a superpower isn't a magic trick. And Trump would be a disaster for the US.",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030899132276736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ronfrankl",0,FALSE,FALSE,NA,NA
"8","@sp91euw @YouTube baite, outsmarted and outplayed. Trump siren cuntfirmed? <ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094><ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,0,"sp91euw",2016-10-20 09:10:00,FALSE,"789022139907182592","789030898238910464","3023947934","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sebbe15988218",0,FALSE,FALSE,NA,NA
"9","RT @MaggieJordanACN: Trump's main election outrage centers on the fact -

His political ass is being handed to him by women.",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030898024980480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kamaj4n",17,TRUE,FALSE,NA,NA
"10","4 Florida Voters Share Their Reactions To The Final Presidential Debate: David Greene talks to Trump supporte... https://t.co/CClQL2PCf8",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030897362149377",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","meluvtweet",0,FALSE,FALSE,NA,NA
"11","RT @tonyschwartz: At least one person praises Trump for saying he may contest legitimacy of election: David Duke. Perfect!",FALSE,0,NA,2016-10-20 09:10:00,FALSE,NA,"789030897097945088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LangeB1",364,TRUE,FALSE,NA,NA
"12","RT @Thomas1774Paine: Pentagon: #HillaryClinton Should Be Arrested For Leaking Top Secret Nuclear Intel on National TV #Debates #Trump RT ht<U+2026>",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030896519176192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thelifeinfray",31,TRUE,FALSE,NA,NA
"13","@itsajahli nobody* respects women more than Trump does

*almost nobody doesn't #FTFY",FALSE,0,"itsajahli",2016-10-20 09:09:59,FALSE,"788944274658168832","789030895743139840","140531585","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PatchouliW",0,FALSE,FALSE,NA,NA
"14","RT @SandraTXAS: Of course Trump isn't going to concede no matter what happens and yes its happened before. Al Gore?
#debatenight
#TrumpBook<U+2026>",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030895223132160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","secularstupiddd",210,TRUE,FALSE,NA,NA
"15","RT @Slate: Nicki Minaj says Melania Trump is not the kind of woman an aspiring president needs: https://t.co/zdB8tZhrfh https://t.co/Y9qMA2<U+2026>",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030895177064448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imprimatura15",2,TRUE,FALSE,NA,NA
"16","RT @realDonaldTrump: The Washington Times Presidential Debate Poll:
TRUMP 77% (18,290)
CLINTON 17% (4,100)
#DrainTheSwamp #Debate https://t<U+2026>",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030895080574976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WRAUER",9338,TRUE,FALSE,NA,NA
"17","From last night's debate.Trump is a treat to humanity. Please Americans do save the world by rejecting him",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030894778605568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnabaMike",0,FALSE,FALSE,NA,NA
"18","RT @ontaekey_: Trump On Immigration: We have some bad ombre's here. We need to get them out. 

Me: SAY IT AGAIN FOR THE PPL IN THE BACK #de<U+2026>",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030894774263809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SharronLuong",226,TRUE,FALSE,NA,NA
"19","...look on the bright side...  #Clinton or #Trump are never gonna run our country.",FALSE,0,NA,2016-10-20 09:09:59,FALSE,NA,"789030894338183168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Andy7Riley",0,FALSE,FALSE,NA,NA
