"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @realDonaldTrump: The Washington Times Presidential Debate Poll:
TRUMP 77% (18,290)
CLINTON 17% (4,100)
#DrainTheSwamp #Debate https://t<U+2026>",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044360742596608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HillelSims",10102,TRUE,FALSE,NA,NA
"2","Mr. Trump, clinton should not be running for the election, she is a criminal NO JUSTICE  at all it's rigged https://t.co/YSzyQvfJBX",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044360696299520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MFerrara1027",0,FALSE,FALSE,NA,NA
"3","Hillary Clinton campaign fundraising tool: auto-donate every time Trump tweets https://t.co/JUpVXOZkQS https://t.co/gFLkkdQoPW",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044360574803970",NA,"<a href=""http://www.netvibes.com/"" rel=""nofollow"">Netvibes Widget</a>","TechCurated",0,FALSE,FALSE,NA,NA
"4","@TheRickWilson 

Trump: I'm just looking for some Tush.",FALSE,0,"TheRickWilson",2016-10-20 10:03:29,FALSE,"788967702081572865","789044360415289345","19084896","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AmusedlySo",0,FALSE,FALSE,NA,NA
"5","Trump did say his accusers aren't attractive enough to assault https://t.co/zzvfuf08QG",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044359995936768",NA,"<a href=""http://gunow.co.ve"" rel=""nofollow"">Gunow UK</a>","Gunow_uk",0,FALSE,FALSE,NA,NA
"6","RT @CBSNews: We fact-checked the candidates during the final presidential #debate. See the results: https://t.co/u23QOmA9ZA https://t.co/X0<U+2026>",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044359714922496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CelticFairy25",5,TRUE,FALSE,NA,NA
"7","Your Thursday Briefing https://t.co/1w4aaNpMDf",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044359421370368",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","fiverr_girl",0,FALSE,FALSE,NA,NA
"8","RT @AnnCoulter: Hillary is nasty.  Good that Trump pointed it out.",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044359329030144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krifle",2559,TRUE,FALSE,NA,NA
"9","RT @0HOUR1__: Hillary Clinton gave Donald Trump the finger that is why he called her NASTY WOMAN
#debates2016 
#debate 
#ANONYMOUS
WE ARE S<U+2026>",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044359278755840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mrdonnovak",504,TRUE,FALSE,NA,NA
"10","Eminem goes after Donald Trump in new song ""Campaign Speech"" https://t.co/DHKgnxqiZn by #LwangaMundo via @c0nvey",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044358972641284",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","KMA0005",0,FALSE,FALSE,NA,NA
"11","RT @asamjulian: Trump is mentioning Hillary's and the Clinton Foundation's treatment of Haiti. Let this man tell you the truth. #debatenigh<U+2026>",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044358922182656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LynnStefie",3903,TRUE,FALSE,NA,NA
"12","RT @TrumpSuperPAC: Who do you think won #debatenight?
Was it #TRUMP or #Hillary?
#TrumpvsClinton #debate #poll #polls #debatepoll",FALSE,0,NA,2016-10-20 10:03:29,FALSE,NA,"789044358892969985",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","MIKE1669",883,TRUE,FALSE,NA,NA
