"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @newtgingrich: Trump had his best debate tonight.clinton just plain lied about a series of issues. Trump drew a sharp contrast on issues.",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040317332803584",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","49erJojo",1713,TRUE,FALSE,NA,NA
"2","Hillary Clinton Sebut Donald Trump Boneka Rusia https://t.co/cdWwhZ4QkO #luar",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040317324419072",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","ayemback",0,FALSE,FALSE,NA,NA
"3","RT @kathrynw5: ""I will do more for African Americans and latinos than she can ever do in 10 lifetimes."" -- Trump #debatenight",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040317211086848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flowers3712",70,TRUE,FALSE,NA,NA
"4","RT @kurteichenwald: Hitting already: Trump refusing to commit to peaceful transfer of power is headline of debate. What an idiot. All 2 Res<U+2026>",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040316850417664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","girlzinger",872,TRUE,FALSE,NA,NA
"5","RT @imactuallywes: i can't stand donald trump can someone just end this joke of an election so i can stop thinking about him/seeing his dum<U+2026>",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040316489797632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sashasxr",1956,TRUE,FALSE,NA,NA
"6","RT @desusandmero: trump repeating ""wrong"" is a classic tactic from the ancient art of arguing in cheesecake factory",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040316363993089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sramnanix0",4182,TRUE,FALSE,NA,NA
"7","RT @KellyannePolls: Hearing privately from many reporters that Hillary had a ""terrible night"" &amp; Trump had best debate. Hope this will make<U+2026>",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040316229619712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alamodonna",6963,TRUE,FALSE,NA,NA
"8","RT @CarolCNY: @Fore_not_four @marklevinshow She went low all night. The truth is she is nasty.  #Trump speaks the truth, why he has support.",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040315931856896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deetav",15,TRUE,FALSE,NA,NA
"9","RT @marclamonthill: Trump knows so little about the Middle East that it's literally scary...",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040315856367616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TDomino73",942,TRUE,FALSE,NA,NA
"10","RT @emilyslist: When Trump went low, @HillaryClinton went high. We're prouder than ever to be with her. #SheWon https://t.co/c5JmPWCCqV",FALSE,0,NA,2016-10-20 09:47:25,FALSE,NA,"789040315479027712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harry1la",2390,TRUE,FALSE,NA,NA
