"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MaddowBlog: Trump's plagiarism joke.... plagiarized?? https://t.co/mThelHSkHb",FALSE,0,NA,2016-10-22 08:51:45,FALSE,NA,"789751084126437376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blainejerrdan",804,TRUE,FALSE,NA,NA
"2","Donald Trump Supporters Heckle NDTV Reporter, Call Them 'Liars' - NDTV https://t.co/bGKIXByJnj by #TarekFatah via @c0nvey",FALSE,0,NA,2016-10-22 08:51:45,FALSE,NA,"789751083681910784",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","vcs_17",0,FALSE,FALSE,NA,NA
"3","RT @RealMuckmaker: How Trump's colossal failure of a campaign is tarnishing democracy abroad https://t.co/CmLxeHRTVw",FALSE,0,NA,2016-10-22 08:51:45,FALSE,NA,"789751082104811520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JChaunte",14,TRUE,FALSE,NA,NA
"4","RT @TajinderBagga: Donald Trump Supporters Heckle NDTV Reporter, Call Them 'Liars' - NDTV https://t.co/ZTTeK3UWtQ",FALSE,0,NA,2016-10-22 08:51:45,FALSE,NA,"789751081442082817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","satya_1511",185,TRUE,FALSE,NA,NA
"5","RT @mattaukamp: One day, Donald Trump is going to look a reporter straight in the eyes on national TV and say ""I never ran for President.""",FALSE,0,NA,2016-10-22 08:51:45,FALSE,NA,"789751081236475904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","khaliesyaa",41379,TRUE,FALSE,NA,NA
"6","RT @MarinaHyde: Really share sense of foreboding in this excellent @Freedland column. Many progressive victories already seem undone https:<U+2026>",FALSE,0,NA,2016-10-22 08:51:44,FALSE,NA,"789751079982469121",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","peediewee",36,TRUE,FALSE,NA,NA
"7","RT @Amaka_Ekwo: Just be angry and cry.

As for #Trump, he will be the next president of United States of America.

Crooked #Hillary will lo<U+2026>",FALSE,0,NA,2016-10-22 08:51:44,FALSE,NA,"789751079160414208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HEzeokaka",75,TRUE,FALSE,NA,NA
"8","RT @alanknox: Who is winning the US presidential campaign?
#Trump or #Clinton 
I don't know. 
Ask a body language expert. https://t.co/R932<U+2026>",FALSE,0,NA,2016-10-22 08:51:44,FALSE,NA,"789751078300581888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","briandobson44",3,TRUE,FALSE,NA,NA
"9","RT @Democrat_4Trump: I'm cutting @CNN @CNBC @CBSNews @FoxNews (Kelly) till after the election bc I've already made up my mind. It's Trump.<U+2026>",FALSE,0,NA,2016-10-22 08:51:44,FALSE,NA,"789751077084106752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hillarythescum",92,TRUE,FALSE,NA,NA
"10","RT @JoyAnnReid: .@prioritiesUSA comes for Kelly Ayotte over her belated flight from Trump: https://t.co/agwvyoF4qt",FALSE,0,NA,2016-10-22 08:51:44,FALSE,NA,"789751076492750849",NA,"<a href=""http://rnttdkkr.webs.com"" rel=""nofollow"">rnttDkkr6825</a>","rnttDkkr",104,TRUE,FALSE,NA,NA
