"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@jarebaremofkaaa Trump <U+2764><U+FE0F>",FALSE,0,"jarebaremofkaaa",2016-10-22 08:18:29,FALSE,"789740302298783744","789742710508949504","748021814","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cali_collins1",0,FALSE,FALSE,NA,NA
"2","On plans for the 1st 100 Days as president,  I think Trump in a way follows African politics.",FALSE,0,NA,2016-10-22 08:18:29,FALSE,NA,"789742709405646848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TRoPSeven",0,FALSE,FALSE,NA,NA
"3","RT @kylegriffin1: Clinton camp out with new web video challenging Trump's debate denials<U+2014> ""Just Google It."" https://t.co/jmiUNHtSUH",FALSE,0,NA,2016-10-22 08:18:29,FALSE,NA,"789742709347086337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tobzville",444,TRUE,FALSE,NA,NA
"4","""Vote For Peter Trump"" https://t.co/5as6cTU8oV",FALSE,0,NA,2016-10-22 08:18:29,FALSE,NA,"789742708285841409",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeelandAskew",0,FALSE,FALSE,NA,NA
"5","RT @ProudlyLiberal2: Hillary Clinton is an actual feminist: She met Trump<U+2019>s misogyny head on, without apology - https://t.co/gO75z2If4Z htt<U+2026>",FALSE,0,NA,2016-10-22 08:18:28,FALSE,NA,"789742707434397697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CathyGV61",2,TRUE,FALSE,NA,NA
"6","RT @ETTalkShow: Why Trump? #CrookedHillary has been a disaster over 3 decades. From Whitewater to Benghazi: A Clinton-Scandal Primer https:<U+2026>",FALSE,0,NA,2016-10-22 08:18:28,FALSE,NA,"789742705978904576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","James37412977",9,TRUE,FALSE,NA,NA
"7","@coolestguyontwi @rustlay @realHusbando @CatlinNya @iSideWith Anything below 88% Trump is degenerate.",FALSE,0,"coolestguyontwi",2016-10-22 08:18:28,FALSE,"789742114896621568","789742704678703104","4762764188","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RoninMemes",0,FALSE,FALSE,NA,NA
"8","Wybory w USA. Ekspert: #Trump <U+015B>wietnie wpasowa<U+0142> si<U+0119> w spolaryzowan<U+0105> Ameryk<U+0119> https://t.co/KlIoUiu1An",FALSE,0,NA,2016-10-22 08:18:28,FALSE,NA,"789742704657887232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Wiadomosci_PR",0,FALSE,FALSE,NA,NA
"9","RT @SheWhoVotes: Trump ad came on the TV screen &amp; our friends' 5-year-old daughter<U+2014>unprompted<U+2014>said he's a bad man and he lies. From the mou<U+2026>",FALSE,0,NA,2016-10-22 08:18:28,FALSE,NA,"789742704099856385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","skrossa",21,TRUE,FALSE,NA,NA
"10","RT @vknownow: Watch Einstein's challenge for Trump, Hillary and Obama
https://t.co/g3zf0mDBG5
@tweetsauce @VsauceTwo @VsauceThree @MinuteEa<U+2026>",FALSE,0,NA,2016-10-22 08:18:27,FALSE,NA,"789742703529426944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","v_puri",1,TRUE,FALSE,NA,NA
"11","RT @TEN_GOP: Trump has huge support from Latinos!

But the media will never show this! Spread online! https://t.co/xeSRwzIxHg",FALSE,0,NA,2016-10-22 08:18:27,FALSE,NA,"789742703336501248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SonjaCalwell888",636,TRUE,FALSE,NA,NA
