"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Totally disingenuous. #WikiLeaks frequently presents as a shameless pro-Trump shill. #Election2016 https://t.co/Iefcf1VETr",FALSE,0,NA,2016-10-22 08:33:04,FALSE,NA,"789746379425914881",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MichaelByrnes",0,FALSE,FALSE,NA,NA
"2","RT @jmartNYT: .@SangerNYT has Hillary already mulling retribution on Putin &gt;

https://t.co/3OPtnqZRv1",FALSE,0,NA,2016-10-22 08:33:04,FALSE,NA,"789746379044159488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","KinaandJtweets",28,TRUE,FALSE,NA,NA
"3","Stephen Has Some Lucrative TV Show Pitches For Donald Trump: Stephen has plenty of ideas for new hit series<U+2026><U+2026> https://t.co/T0ypeg702n",FALSE,0,NA,2016-10-22 08:33:03,TRUE,NA,"789746377223909376",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Xaniatube",0,FALSE,FALSE,NA,NA
"4","#ModiMinistry Donald Trump promises to deliver 4 per cent GDP growth for US https://t.co/7X7taLHhkW",FALSE,0,NA,2016-10-22 08:33:03,FALSE,NA,"789746376678711296",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iVoteForBest",0,FALSE,FALSE,NA,NA
"5","RT @MagicRoyalty: Trump has huge support from Latinos!

But the media will never show this! Spread online! https://t.co/4UGVOzSJzy",FALSE,0,NA,2016-10-22 08:33:03,FALSE,NA,"789746375646851073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HuskerPower811",147,TRUE,FALSE,NA,NA
"6","RT @EveryTrumpFan: #Trump is already practicing how to reject the results of his landslide loss in November.

#NeverTrump https://t.co/KwGw<U+2026>",FALSE,0,NA,2016-10-22 08:33:03,FALSE,NA,"789746375265128448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsKunatai",4,TRUE,FALSE,NA,NA
"7","RT @RealMuckmaker: BREAKING: Donald Trump Hit With MASSIVE New Lawsuit For Assault On Black Man (DETAILS) https://t.co/7xt2KQZjix via @Bipa<U+2026>",FALSE,0,NA,2016-10-22 08:33:03,FALSE,NA,"789746374451560448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JamesKennethBo2",32,TRUE,FALSE,NA,NA
"8","Kesal Dilabel Rasis dan Sexist, Trump Tinggalkan Reporter di Tengah Wawancara https://t.co/556Nqhbgpm",FALSE,0,NA,2016-10-22 08:33:02,FALSE,NA,"789746373990113280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","redaksi3pilar",0,FALSE,FALSE,NA,NA
"9","RT @Paxochka: Trump/Rigged 2016",FALSE,0,NA,2016-10-22 08:33:02,FALSE,NA,"789746373944078336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thatdutchperson",30,TRUE,FALSE,NA,NA
"10","And its getting worse https://t.co/hQNnjgeghv",FALSE,0,NA,2016-10-22 08:33:02,FALSE,NA,"789746373377789952",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cjsculinary",0,FALSE,FALSE,NA,NA
"11","#ModiMinistry Amid fraud concerns, Trump voters want investigation before concession https://t.co/OsuQpbsrSG",FALSE,0,NA,2016-10-22 08:33:02,FALSE,NA,"789746373298094080",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","iVoteForBest",0,FALSE,FALSE,NA,NA
